Qnumber,ItemNum,GoodChoice,Group,DataCat,Qtype
Q3.1,c1-43,1,control,all,gb
Q3.2,c2-01b,1,control,all,gb
Q3.3,c2-40,1,control,all,gb
Q3.4,c3-31,1,control,all,gb
Q3.5,c3-57,1,control,all,gb
Q3.6,c3-55,1,control,all,gb
Q3.7,c3-56,1,control,all,gb
Q3.8,c3-58,2,control,all,gb
Q3.9,c5-09,2,control,all,gb
Q3.10,c5-17,2,control,all,gb
Q3.11,c5-24,1,control,all,gb
Q3.12,c5-47,1,control,all,gb
Q3.13,c5-54,1,control,all,gb
Q3.14,c6-60,1,control,all,gb
Q3.15,c6-61,1,control,all,gb
Q3.16,c6-87a,1,control,all,gb
Q3.17,c6-117,1,control,all,gb
Q3.18,c7-06,1,control,all,gb
Q3.19,c7-57,1,control,all,gb
Q3.20,c7-17,1,control,all,gb
Q3.21,c7-19,1,control,all,gb
Q3.22,c7-30,1,control,all,gb
Q3.23,c7-58,1,control,all,gb
Q3.24,c7-59,1,control,all,gb
Q3.25,c8-47,1,control,all,gb
Q3.26,c8-59,1,control,all,gb
Q3.27,c8-62,1,control,all,gb
Q3.28,c1-50a,1,test,all,gb
Q3.29,c2-34,1,test,all,qq
Q3.30,c3-54,1,test,all,gb
Q3.31,c4-27,2,test,all,gb
Q3.32,c4-56b,1,test,all,gb
Q3.34,c6-24,1,test,all,gb
Q3.35,c6-80a,2,test,all,gb
Q3.36,c6-83,2,test,all,gb
Q3.37,c6-98,1,test,all,gb
Q3.38,c6-99,1,test,all,gb
Q3.39,c7-102,2,test,all,gb
Q3.40,c7-28,1,test,all,gb
Q3.41,c8-08,2,test,all,gb
Q3.42,c8-60,1,test,all,gb
Q3.43,c8-71b,1,test,all,gb
Q3.44,c8-77,2,test,all,gb
Q3.45,c8-93c,2,test,all,gb
Q3.46,c1-28,1,test,rawonly,qq
Q3.47,c3-f9,1,test,rawonly,gb
Q3.48,c4-32,2,test,rawonly,qq
Q3.49,c4-39,2,test,rawonly,gb
Q3.50,c5-18,1,test,rawonly,qq
Q3.51,c5-43,1,test,rawonly,gb
Q3.52,c5-f9,1,test,rawonly,gb
Q3.53,c8-40a,1,test,rawonly,gb
Q3.54,c8-93a,2,test,rawonly,gb
