Qnumber,ItemNum,SenType,Category,list
Q3.1,c1-11,g,pair,1
Q3.2,c1-28,qq,pair,1
Q3.3,c1-29,g,pair,1
Q3.4,c1-35,b,pair,1
Q3.5,c1-36,g,pair,1
Q3.6,c1-39,b,pair,1
Q3.7,c1-41,g,pair,1
Q3.8,c1-43,b,pair,1
Q3.9,c1-50a,g,pair,1
Q3.10,c1-50b,b,pair,1
Q3.11,c2-01a,g,pair,1
Q3.12,c2-01b,b,pair,1
Q3.13,c2-34,qq,pair,1
Q3.14,c2-40,g,pair,1
Q3.15,c2-41,b,pair,1
Q3.16,c2-71,g,pair,1
Q3.17,c3-31,b,pair,1
Q3.19,c3-53,b,pair,1
Q3.21,c3-54,b,pair,1
Q3.20,c3-55,g,pair,1
Q3.22,c3-56,g,pair,1
Q3.18,c3-57,g,pair,1
Q3.23,c3-58,b,pair,1
Q3.24,c3-68,g,pair,1
Q3.25,c3-f9,b,pair,1
Q3.26,c4-27,g,pair,1
Q3.33,c4-28,b,pair,1
Q3.27,c4-32,qq,pair,1
Q3.28,c4-38,b,pair,1
Q3.29,c4-39,b,pair,1
Q3.30,c4-45,g,pair,1
Q3.31,c4-47,b,pair,1
Q3.32,c4-48,g,pair,1
Q3.34,c4-49,g,pair,1
Q3.35,c4-55,b,pair,1
Q3.36,c4-55b,g,pair,1
Q3.37,c4-56,b,pair,1
Q3.38,c4-56b,g,pair,1
Q3.39,c4-75,b,pair,1
Q3.40,c4-f29,g,pair,1
Q3.41,c5-08,b,pair,1
Q3.42,c5-09,g,pair,1
Q3.43,c5-12,b,pair,1
Q3.44,c5-13,g,pair,1
Q3.46,c5-17,g,pair,1
Q3.47,c5-18,qq,pair,1
Q3.48,c5-24,g,pair,1
Q3.49,c5-25,b,pair,1
Q3.50,c5-26,g,pair,1
Q3.54,c5-41,g,pair,1
Q3.52,c5-42,g,pair,1
Q3.55,c5-43,b,pair,1
Q3.56,c5-47,g,pair,1
Q3.57,c5-48,b,pair,1
Q3.58,c5-54,g,pair,1
Q3.59,c5-55,qq,pair,1
Q3.60,c5-60,g,pair,1
Q3.53,c5-68,b,pair,1
Q3.61,c5-69,b,pair,1
Q3.62,c5-71,b,pair,1
Q3.63,c5-73,b,pair,1
Q3.64,c5-74,g,pair,1
Q3.65,c5-87,qq,pair,1
Q3.66,c5-92,g,pair,1
Q3.51,c5-f21,b,pair,1
Q3.67,c5-f30,b,pair,1
Q3.45,c5-f9,b,pair,1
Q3.95,c6-103,b,pair,1
Q3.96,c6-104,g,pair,1
Q3.90,c6-105a,g,pair,1
Q3.91,c6-105b,b,pair,1
Q3.92,c6-115,g,pair,1
Q3.93,c6-117,b,pair,1
Q3.94,c6-121,g,pair,1
Q3.68,c6-21,g,pair,1
Q3.69,c6-24,b,pair,1
Q3.70,c6-58,g,pair,1
Q3.71,c6-60,b,pair,1
Q3.72,c6-61,g,pair,1
